anio;mes;visitas_pn_total;visitas_pn_r;visitas_pn_nr;pernoctantes_ush;pernoctantes_ush_r;pernoctantes_ush_nr;viajeros_ush;viajeros_ush_r;viajeros_ush_nr;estadia_prom_ush;estadia_prom_ush_r;estadia_prom_ush_nr;pernoctantes_rg;pernoctantes_rg_r;pernoctantes_rg_nr;pernoctantes_rg_sd;viajeros_rg;viajeros_rg_r;viajeros_rg_nr;viajeros_rg_sd;estadia_prom_rg;estadia_prom_rg_r;estadia_prom_rg_nr
2015;Enero;60841;36642;24199;102388;52431;49957;43218;21078;22140;2,369105465;2,487475093;2,256413731;7282;3852;1475;1955;4872;2474;699;1699;1,494663383;1,556992724;2,110157368
2015;Febrero;43944;20800;23144;82845;40140;42705;35592;15994;19598;2,327629804;2,509691134;2,179048883;7052;3627;1398;2027;4797;2416;633;1748;1,47008547;1,501241722;2,208530806
2015;Marzo;29554;16253;13301;69303;37048;32255;30169;15280;14889;2,297159336;2,42460733;2,16636443;7398;4414;967;2017;4890;2816;519;1555;1,512883436;1,567471591;1,863198459
2015;Abril;12992;8820;4172;44764;29605;15159;18692;12138;6554;2,394821314;2,439034437;2,312938663;7174;4016;1274;1884;4506;2505;457;1544;1,592099423;1,603193613;2,787746171
2015;Mayo;8778;6220;2558;29394;20203;9191;12464;8781;3683;2,358311938;2,300763011;2,495519957;9039;4698;1581;2760;5200;2680;456;2064;1,738269231;1,752985075;3,467105263
2015;Junio;5174;3356;1818;23576;17239;6337;9825;7260;2565;2,399592875;2,374517906;2,470565302;7902;4230;1634;2038;4587;2288;616;1683;1,722694572;1,848776224;2,652597403
2015;Julio;5646;4636;1010;73984;48485;25499;22576;14988;7588;3,277108434;3,23492127;3,360437533;7509;4037;1623;1849;4321;2253;608;1460;1,737792178;1,791833111;2,669407895
2015;Agosto;11228;10261;967;79612;53381;26231;25403;16712;8691;3,133960556;3,194171853;3,018179726;8185;4741;1684;1760;4691;2392;888;1411;1,744830527;1,982023411;1,896396396
2015;Septiembre;17836;16393;1443;82944;56624;26320;25716;17853;7863;3,225384974;3,17167983;3,347322905;7697;4498;1564;1635;4599;2458;792;1349;1,673624701;1,829943043;1,974747475
2015;Octubre;30004;24247;5757;62754;38557;24197;23846;14446;9400;2,631636333;2,669043334;2,574148936;7739;4364;1459;1916;4567;2567;498;1502;1,694547843;1,700038956;2,929718876
2015;Noviembre;29442;16329;13113;70300;31148;39152;32966;13695;19271;2,132500152;2,274406718;2,03165378;8443;5229;1274;1940;4794;2670;634;1490;1,761159783;1,958426966;2,009463722
